uid,recorded_file,original_file,label,true_label,true_str,pred_label,pred_str,real_prob,fake_prob,confidence,duration,correct,error,architecture,language,mic,speaker,infer_time
848b3883f811,wav/848b3883f811/spoof/xtts_v1.1/fr/dd2119ac6f7f.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v1.1/l_ile_mysterieuse_1_18_f000126.wav,spoof,1,FAKE,0,REAL,0.999915,8.5e-05,0.999915,11.152,0,,xtts_v1.1,fr,SteelSeries Arctis 3 2019 Headset,SteelSeries Arctis 3 2019 Headset,0.7577
c18ae1721be1,wav/c18ae1721be1/spoof/xtts_v2/pl/f0aa091f1280.wav,fake/pl/tts_models_multilingual_multi-dataset_xtts_v2/saragossie_27_f000059.wav,spoof,1,FAKE,1,FAKE,2e-06,0.999998,0.999998,15.429,1,,xtts_v2,pl,Jabra Evolve2 40 Headset,Bose QuietComfort,0.7945
83e4ddad49d2,wav/83e4ddad49d2/benign/fr/eb6d48fbbcdd.wav,fr_FR/female/ezwa/monsieur_lecoq/wavs/monsieur_lecoq_2_45_f000103.wav,bona-fide,0,REAL,0,REAL,0.999995,5e-06,0.999995,10.487,1,,xtts_v1.1,fr,ThinkPad P14s Gen2,Oliver Wyman speaker (20cm),0.7519
5c0f99ff5049,wav/5c0f99ff5049/benign/de/f378dff754b6.wav,de_DE/by_book/female/angela_merkel/merkel_alone/wavs/Kanzlerin_23_16_f000022.wav,bona-fide,0,REAL,1,FAKE,0.151757,0.848243,0.848243,5.747,0,,xtts_v2,de,Sennheiser Profile USB Microphone,S2-010,0.7551
dd09de2a982e,wav/dd09de2a982e/spoof/xtts_v1.1/fr/a75a70ade060.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v1.1/le_pays_des_fourrures_2_11_f000016.wav,spoof,1,FAKE,1,FAKE,0.00232,0.99768,0.99768,13.435,1,,xtts_v1.1,fr,T14s,T14s,0.7905
c18ae1721be1,wav/c18ae1721be1/benign/pl/a1676f290e46.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_3_22_f000175.wav,bona-fide,0,REAL,1,FAKE,0.127641,0.872359,0.872359,11.944,0,,xtts_v2,pl,Jabra Evolve2 40 Headset,Bose QuietComfort,0.7612
30309830f00c,wav/30309830f00c/benign/de/4a1af82ead65.wav,de_DE/by_book/mix/auf_zwei_planeten/wavs/zweiplaneten_09_lasswitz_f000092.wav,bona-fide,0,REAL,0,REAL,0.72128,0.27872,0.72128,7.17,1,,xtts_v2,de,T14s,Dell Monitor U4025QW built in speakers,0.8212
8dfeb1ddef8b,wav/8dfeb1ddef8b/spoof/xtts_v2/es/46d89f259014.wav,fake/es/tts_models_multilingual_multi-dataset_xtts_v2/napoleonenchamartin_21_perezgaldos_f000115.wav,spoof,1,FAKE,1,FAKE,1e-06,0.999999,0.999999,8.368,1,,xtts_v2,es,AirPods Pro 2,MacBook Pro 13 2020 Speakers,0.8188
eb22ed7f96af,wav/eb22ed7f96af/benign/pl/477deb8294a6.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_36_f000126.wav,bona-fide,0,REAL,0,REAL,0.999245,0.000755,0.999245,9.346,1,,xtts_v1.1,pl,Creative Pebble USB,Yeti USB,0.8351
5716a9adc44d,wav/5716a9adc44d/spoof/xtts_v1.1/es/a08f845fb851.wav,fake/es/tts_models_multilingual_multi-dataset_xtts_v1.1/bailen_27_perezgaldos_f000022.wav,spoof,1,FAKE,1,FAKE,0.001524,0.998476,0.998476,7.397,1,,xtts_v1.1,es,Jabra Evolve2 40 Headset,JBL Flip 4,0.8374
fbf472c53584,wav/fbf472c53584/spoof/bark/es/702d95bbfabb.wav,fake/es/tts_models_multilingual_multi-dataset_bark/quijote_vol1_13_cervantes_f000249.wav,spoof,1,FAKE,0,REAL,0.995654,0.004346,0.995654,8.96,0,,bark,es,Jabra Evolve2 40 Headset,Dell Zylux Multimediasystem,0.8107
9d3f9364c5f4,wav/9d3f9364c5f4/benign/es/590eed6581c7.wav,es_ES/by_book/male/victor_villarraza/la_dama_de_las_camelias/wavs/damadelascamelias_02_dumas_f000086.wav,bona-fide,0,REAL,1,FAKE,0.413891,0.586109,0.586109,12.39,0,,xtts_v1.1,es,IRig Mic Lav,Jabra PHS002W,0.7924
9ad81aac9ca6,wav/9ad81aac9ca6/benign/en/7439a935de4a.wav,en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_15_f000089.wav,bona-fide,0,REAL,0,REAL,0.999995,5e-06,0.999995,9.43,1,,xtts_v2,en,Logitech Brio Ultra HD Webcam,Bose Mini II SE Soundlink,0.7927
373d5e1728a8,wav/373d5e1728a8/benign/de/cd0e51a964f9.wav,de_DE/by_book/female/eva_k/toten_seelen/wavs/toten_seelen_23_f000105.wav,bona-fide,0,REAL,0,REAL,0.900347,0.099653,0.900347,8.778,1,,xtts_v1.1,de,IRig Mic Lav,Logitech Z323,0.7708
f8d8b766284b,wav/f8d8b766284b/benign/en/a8783b6df9bd.wav,en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_13_f000350.wav,bona-fide,0,REAL,0,REAL,0.999924,7.6e-05,0.999924,12.81,1,,xtts_v1.1,en,AudioTechnica AT2022,MacBook Pro 13 2017 built-in speakers,0.7654
f01cb40c918e,wav/f01cb40c918e/spoof/xtts_v2/fr/cd980bfb3298.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v2/les_miserables_tome_5_45_f000012.wav,spoof,1,FAKE,1,FAKE,0.313407,0.686593,0.686593,8.421,1,,xtts_v2,fr,VideoMic Pro (+20dB),Logitech Z323,0.8008
e6c84a12959b,wav/e6c84a12959b/spoof/xtts_v1.1/fr/fe540ea5673d.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v1.1/les_miserables_tome_5_44_f000045.wav,spoof,1,FAKE,0,REAL,0.772979,0.227021,0.772979,15.239,0,,xtts_v1.1,fr,Sennheiser Profile USB Microphone,iiyama ProLite XUB2792QSN,0.7666
51cdbb7946a7,wav/51cdbb7946a7/benign/en/1a62e81df62f.wav,en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_17_f000047.wav,bona-fide,0,REAL,0,REAL,0.99979,0.00021,0.99979,17.16,1,,xtts_v2,en,MacBook Pro 13 2020 Microphone,Philips AT10/00 Speaker,0.8522
