uid,recorded_file,original_file,label,true_label,true_str,pred_label,pred_str,real_prob,fake_prob,confidence,duration,correct,error,architecture,language,mic,speaker
5c0f99ff5049,wav/5c0f99ff5049/benign/de/f378dff754b6.wav,de_DE/by_book/female/angela_merkel/merkel_alone/wavs/Kanzlerin_23_16_f000022.wav,bona-fide,0,REAL,0,REAL,0.99614,0.00386,0.99614,5.747,1,,xtts_v2,de,Sennheiser Profile USB Microphone,S2-010
dd09de2a982e,wav/dd09de2a982e/spoof/xtts_v1.1/fr/a75a70ade060.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v1.1/le_pays_des_fourrures_2_11_f000016.wav,spoof,1,FAKE,0,REAL,0.919648,0.080352,0.919648,13.435,0,,xtts_v1.1,fr,T14s,T14s
c18ae1721be1,wav/c18ae1721be1/benign/pl/a1676f290e46.wav,pl_PL/by_book/male/piotr_nater/lalka/wavs/lalka_3_22_f000175.wav,bona-fide,0,REAL,1,FAKE,0.451694,0.548306,0.548306,11.944,0,,xtts_v2,pl,Jabra Evolve2 40 Headset,Bose QuietComfort
30309830f00c,wav/30309830f00c/benign/de/4a1af82ead65.wav,de_DE/by_book/mix/auf_zwei_planeten/wavs/zweiplaneten_09_lasswitz_f000092.wav,bona-fide,0,REAL,0,REAL,0.995246,0.004754,0.995246,7.17,1,,xtts_v2,de,T14s,Dell Monitor U4025QW built in speakers
8dfeb1ddef8b,wav/8dfeb1ddef8b/spoof/xtts_v2/es/46d89f259014.wav,fake/es/tts_models_multilingual_multi-dataset_xtts_v2/napoleonenchamartin_21_perezgaldos_f000115.wav,spoof,1,FAKE,0,REAL,0.588317,0.411683,0.588317,8.368,0,,xtts_v2,es,AirPods Pro 2,MacBook Pro 13 2020 Speakers
eb22ed7f96af,wav/eb22ed7f96af/benign/pl/477deb8294a6.wav,pl_PL/by_book/female/nina_brown/saragossie/wavs/saragossie_36_f000126.wav,bona-fide,0,REAL,0,REAL,0.887194,0.112806,0.887194,9.346,1,,xtts_v1.1,pl,Creative Pebble USB,Yeti USB
5716a9adc44d,wav/5716a9adc44d/spoof/xtts_v1.1/es/a08f845fb851.wav,fake/es/tts_models_multilingual_multi-dataset_xtts_v1.1/bailen_27_perezgaldos_f000022.wav,spoof,1,FAKE,0,REAL,0.876849,0.123151,0.876849,7.397,0,,xtts_v1.1,es,Jabra Evolve2 40 Headset,JBL Flip 4
fbf472c53584,wav/fbf472c53584/spoof/bark/es/702d95bbfabb.wav,fake/es/tts_models_multilingual_multi-dataset_bark/quijote_vol1_13_cervantes_f000249.wav,spoof,1,FAKE,0,REAL,0.95864,0.04136,0.95864,8.96,0,,bark,es,Jabra Evolve2 40 Headset,Dell Zylux Multimediasystem
9d3f9364c5f4,wav/9d3f9364c5f4/benign/es/590eed6581c7.wav,es_ES/by_book/male/victor_villarraza/la_dama_de_las_camelias/wavs/damadelascamelias_02_dumas_f000086.wav,bona-fide,0,REAL,0,REAL,0.981613,0.018387,0.981613,12.39,1,,xtts_v1.1,es,IRig Mic Lav,Jabra PHS002W
9ad81aac9ca6,wav/9ad81aac9ca6/benign/en/7439a935de4a.wav,en_UK/by_book/female/elizabeth_klett/wives_and_daughters/wavs/wives_and_daughters_15_f000089.wav,bona-fide,0,REAL,0,REAL,0.546384,0.453616,0.546384,9.43,1,,xtts_v2,en,Logitech Brio Ultra HD Webcam,Bose Mini II SE Soundlink
373d5e1728a8,wav/373d5e1728a8/benign/de/cd0e51a964f9.wav,de_DE/by_book/female/eva_k/toten_seelen/wavs/toten_seelen_23_f000105.wav,bona-fide,0,REAL,0,REAL,0.917496,0.082504,0.917496,8.778,1,,xtts_v1.1,de,IRig Mic Lav,Logitech Z323
f8d8b766284b,wav/f8d8b766284b/benign/en/a8783b6df9bd.wav,en_US/by_book/male/elliot_miller/silent_bullet/wavs/silent_bullet_13_f000350.wav,bona-fide,0,REAL,0,REAL,0.5829,0.4171,0.5829,12.81,1,,xtts_v1.1,en,AudioTechnica AT2022,MacBook Pro 13 2017 built-in speakers
f01cb40c918e,wav/f01cb40c918e/spoof/xtts_v2/fr/cd980bfb3298.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v2/les_miserables_tome_5_45_f000012.wav,spoof,1,FAKE,0,REAL,0.626763,0.373237,0.626763,8.421,0,,xtts_v2,fr,VideoMic Pro (+20dB),Logitech Z323
e6c84a12959b,wav/e6c84a12959b/spoof/xtts_v1.1/fr/fe540ea5673d.wav,fake/fr/tts_models_multilingual_multi-dataset_xtts_v1.1/les_miserables_tome_5_44_f000045.wav,spoof,1,FAKE,0,REAL,0.794151,0.205849,0.794151,15.239,0,,xtts_v1.1,fr,Sennheiser Profile USB Microphone,iiyama ProLite XUB2792QSN
51cdbb7946a7,wav/51cdbb7946a7/benign/en/1a62e81df62f.wav,en_US/by_book/female/judy_bieber/the_master_key/wavs/the_master_key_17_f000047.wav,bona-fide,0,REAL,0,REAL,0.997603,0.002397,0.997603,17.16,1,,xtts_v2,en,MacBook Pro 13 2020 Microphone,Philips AT10/00 Speaker
